Losses: 
batches completed: 1, time taken: 32.51929330825806, loss: 45.95554733276367 
batches completed: 2, time taken: 8.28994083404541, loss: 62.22936820983887 
batches completed: 3, time taken: 8.288004875183105, loss: 73.72481727600098 
batches completed: 4, time taken: 8.270892858505249, loss: 80.49277305603027 
batches completed: 5, time taken: 8.282665729522705, loss: 86.44554901123047 
batches completed: 6, time taken: 8.275126695632935, loss: 92.33678817749023 
batches completed: 7, time taken: 8.266052722930908, loss: 97.69259643554688 
batches completed: 8, time taken: 8.28472375869751, loss: 103.03819274902344 
batches completed: 9, time taken: 8.285226821899414, loss: 108.41352701187134 
batches completed: 10, time taken: 8.278030157089233, loss: 114.1360559463501 
batches completed: 11, time taken: 8.273860931396484, loss: 119.57655429840088 
batches completed: 12, time taken: 8.277530908584595, loss: 124.93245553970337 
batches completed: 13, time taken: 8.27605152130127, loss: 130.47513055801392 
batches completed: 14, time taken: 8.267760038375854, loss: 135.9947624206543 
batches completed: 15, time taken: 8.27262806892395, loss: 141.71494913101196 
batches completed: 16, time taken: 8.27269959449768, loss: 147.28303813934326 
batches completed: 17, time taken: 8.285953998565674, loss: 152.85304307937622 
batches completed: 18, time taken: 8.273338556289673, loss: 158.27368450164795 
batches completed: 19, time taken: 8.260644674301147, loss: 163.66203022003174 
batches completed: 20, time taken: 8.270276069641113, loss: 168.96723985671997 
batches completed: 21, time taken: 8.274976968765259, loss: 174.47833824157715 
batches completed: 22, time taken: 8.271819591522217, loss: 179.9728922843933 
batches completed: 23, time taken: 8.280329465866089, loss: 185.3406023979187 
batches completed: 24, time taken: 8.26172924041748, loss: 190.89734840393066 
batches completed: 25, time taken: 8.269080400466919, loss: 196.36944150924683 
batches completed: 26, time taken: 8.272680521011353, loss: 201.90192413330078 
batches completed: 27, time taken: 8.292598009109497, loss: 207.4566135406494 
batches completed: 28, time taken: 8.27206015586853, loss: 213.12552881240845 
batches completed: 29, time taken: 8.284852743148804, loss: 218.5136342048645 
